username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TTTOLLC;2011-08-22 01:56;0;0;"Bootstrap Your Massage Business – Marketing For Practically Pennies http:// lnk.ms/SvQ4T";;;;"105428147243200512";https://twitter.com/TTTOLLC/status/105428147243200512
TTTOLLC;2011-08-22 01:56;0;0;"Bootstrap Your Massage Business – Marketing For Practically Pennies http:// p.ost.im/p/e8Ts6Q";;;;"105428144550461441";https://twitter.com/TTTOLLC/status/105428144550461441
Marcos_emp;2011-08-22 01:52;0;0;"RT @incredibletb : Twitter Bootstrap http:// bit.ly/qMIz5N #css #webdesign";;@incredibletb;#css #webdesign;"105426982224928768";https://twitter.com/Marcos_emp/status/105426982224928768
mikefoden;2011-08-22 01:42;0;0;"A fantastic new front end toolkit called BootStrap has been put out by the guys from twitter! http:// twitter.github.com/bootstrap/ #in";;;#in;"105424522366300160";https://twitter.com/mikefoden/status/105424522366300160
pawan_z;2011-08-22 01:38;0;0;"Twitter unveils Bootstrap , a toolkit for lightning-fast web app deployment | VentureBeat http:// venturebeat.com/2011/08/19/twi tter-bootstrap/ … via @venturebeat";;@venturebeat;;"105423505956405248";https://twitter.com/pawan_z/status/105423505956405248
freshyill;2011-08-22 01:36;0;0;"@joelhousman Nice. Site looks good. I'll check out Bootstrap when Safari stops doing…this http:// img.ly/7zK4";;@joelhousman;;"105423096063860736";https://twitter.com/freshyill/status/105423096063860736
incredibleTB;2011-08-22 01:34;0;0;"Twitter Bootstrap http:// bit.ly/qMIz5N #css #webdesign";;;#css #webdesign;"105422446827536385";https://twitter.com/incredibleTB/status/105422446827536385
pastawoua;2011-08-22 01:29;0;0;"Bootstrap from Twitter | Twitter Developers https:// dev.twitter.com/blog/bootstrap -twitter …";;;;"105421222552141824";https://twitter.com/pastawoua/status/105421222552141824
PatGratzke1825;2011-08-22 01:23;0;0;"You just got get in there and blow it up! @bootstrap _bill_";;@bootstrap;;"105419850289135616";https://twitter.com/PatGratzke1825/status/105419850289135616
joelhousman;2011-08-22 01:20;0;0;"@freshyill Just spent the day converting my wife's soon-to-launch businesses website into Twitter bootstrap . http:// oldtownsuds.com /";;@freshyill;;"105419021867958272";https://twitter.com/joelhousman/status/105419021867958272
noelomorales;2011-08-22 01:14;0;0;"Bootstrap , from Twitter. - via @wfwhitney on G+, a toolkit for frontend webdev. Open source. Excited to give... http:// tumblr.com/xlm48liuor";;@wfwhitney;;"105417462413131777";https://twitter.com/noelomorales/status/105417462413131777
instaright;2011-08-22 01:09;0;0;"Twitter Bootstrap ... http:// bit.ly/r7gc2E #css #webdesign #twitter";;;#css #webdesign #twitter;"105416380018475009";https://twitter.com/instaright/status/105416380018475009
JCORNdoesitWELL;2011-08-22 01:08;0;0;"@LaurenNotWarren @joiandpain and it will reinforce the bootstrap theory , cuz if u wanted a quality education for ur kids u would have";;@LaurenNotWarren @joiandpain;;"105416035313786880";https://twitter.com/JCORNdoesitWELL/status/105416035313786880
Alltop_Disney;2011-08-22 01:06;0;0;"LP Live: Bootstrap and the Capt (Sent by 999HAUNTS - 8/21 14:36) http:// bit.ly/nj11eu";;;;"105415527928832000";https://twitter.com/Alltop_Disney/status/105415527928832000
